,codmpio,ano,H_coca,coca,year,pct.chg
789,54174,1993,0,0,1993,0
790,54206,1993,0,0,1993,0
791,54223,1993,0,0,1993,0
792,54239,1993,0,0,1993,0
793,54245,1993,0,0,1993,0
794,54250,1993,0,0,1993,0
795,54261,1993,0,0,1993,0
796,54313,1993,0,0,1993,0
797,54344,1993,0,0,1993,0
798,54347,1993,0,0,1993,0
799,54377,1993,0,0,1993,0
800,54385,1993,0,0,1993,0
801,54398,1993,0,0,1993,0
802,54405,1993,0,0,1993,0
803,54418,1993,0,0,1993,0
804,54480,1993,0,0,1993,0
805,54498,1993,0,0,1993,0
806,54518,1993,0,0,1993,0
807,54520,1993,0,0,1993,0
808,54553,1993,0,0,1993,0
809,54599,1993,0,0,1993,0
810,54660,1993,0,0,1993,0
811,54670,1993,0,0,1993,0
812,54673,1993,0,0,1993,0
813,54680,1993,0,0,1993,0
